rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[8.09 2.42 2.42],15422,9502,2944,2976,14,10,1,3,39,34,39,0.0022046427181947868,0.0025288548826351964,2
[8.92 2.67 2.67],16889,10511,3189,3189,14,10,1,3,39,34,39,0.0020131446503641424,0.002309195334241222,2
[0.59  0.177 0.177],1050,643,215,192,3,1,1,1,8,6,6,0.005714285714285714,0.005714285714285714,0
[2.24  0.672 0.672],4359,2751,757,851,5,3,1,1,14,12,13,0.002752924982794219,0.0029823353980270705,2
[4.  1.2 1.2],7684,4774,1457,1453,7,4,1,2,19,17,19,0.0022123893805309734,0.002472670484122853,2
[6.79 2.03 2.03],12938,8111,2393,2434,11,8,1,2,31,27,31,0.0020868758695316127,0.002396042665017777,2
[7.11 2.13 2.13],13661,8547,2569,2545,11,8,1,2,31,26,30,0.0019032281677768832,0.002196032501281019,2
[8.09 2.42 2.42],15444,9619,2892,2933,13,9,1,3,36,31,35,0.0020072520072520073,0.002266252266252266,2
[8.92 2.67 2.67],17002,10559,3154,3289,16,11,2,3,45,38,45,0.0022350311728031994,0.002646747441477473,2
[0.59  0.177 0.177],1152,747,219,186,2,1,0,1,5,5,5,0.004340277777777778,0.004340277777777778,0
[2.24  0.672 0.672],4246,2631,790,825,4,2,1,1,11,9,9,0.002119642016015073,0.002119642016015073,0
[4.  1.2 1.2],7638,4791,1411,1436,7,5,1,1,20,17,20,0.0022257135375752814,0.002618486514794449,2
[6.79 2.03 2.03],13111,8136,2450,2525,12,8,2,2,34,29,34,0.002211883151552132,0.002593242315612844,2
[7.11 2.13 2.13],13568,8451,2553,2564,12,8,1,3,33,28,31,0.0020636792452830193,0.0022847877358490565,0
[8.09 2.42 2.42],15527,9725,2838,2964,13,9,1,3,36,36,37,0.0023185418947639595,0.0023829458362851805,3
[8.92 2.67 2.67],17013,10588,3283,3142,13,10,1,2,37,31,37,0.001822136013636631,0.0021748075001469464,0
[0.59  0.177 0.177],1037,627,213,197,3,1,1,1,8,6,6,0.005785920925747349,0.005785920925747349,0
[2.24  0.672 0.672],4212,2586,843,783,3,2,0,1,8,8,8,0.001899335232668566,0.001899335232668566,1
[4.  1.2 1.2],7672,4823,1393,1456,8,5,1,2,22,18,22,0.0023461939520333683,0.002867570385818561,0
[6.79 2.03 2.03],13109,8189,2440,2480,11,8,1,2,31,30,32,0.0022885040811656114,0.002441071019909985,1
[7.11 2.13 2.13],13774,8623,2593,2558,13,9,1,3,36,31,36,0.002250617104689996,0.0026136198635109626,2
