rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
3.0,87,171,93,425,0.543859649122807,4.56989247311828,3
3.5,125,256,153,720,0.59765625,4.705882352941177,3
4.0,115,231,131,620,0.5670995670995671,4.7328244274809155,3
4.5,128,255,133,626,0.5215686274509804,4.706766917293233,3
5.0,158,302,148,699,0.4900662251655629,4.722972972972973,3
5.5,163,338,202,961,0.5976331360946746,4.757425742574258,3
6.0,191,389,221,1051,0.5681233933161953,4.755656108597285,1
0.5,7,16,10,31,0.625,3.1,0
1.0,30,65,32,134,0.4923076923076923,4.1875,0
1.5,44,102,41,173,0.4019607843137255,4.219512195121951,2
2.0,60,134,64,289,0.4776119402985074,4.515625,2
2.5,84,171,82,372,0.47953216374269,4.536585365853658,2
3.0,91,175,85,391,0.4857142857142857,4.6,3
3.5,106,197,120,566,0.6091370558375635,4.716666666666667,3
4.0,119,235,104,478,0.4425531914893617,4.596153846153847,3
4.5,121,258,81,364,0.313953488372093,4.4938271604938285,3
5.0,160,289,146,684,0.5051903114186851,4.684931506849315,1
5.5,142,293,124,579,0.4232081911262799,4.669354838709677,3
6.0,183,366,225,1077,0.6147540983606558,4.786666666666667,3
0.5,12,27,10,23,0.3703703703703704,2.3,2
1.0,36,72,34,143,0.4722222222222222,4.205882352941177,2
1.5,45,85,26,100,0.3058823529411765,3.8461538461538463,2
2.0,60,120,65,295,0.5416666666666666,4.538461538461538,2
2.5,73,162,80,363,0.4938271604938271,4.5375,3
3.0,98,209,107,496,0.5119617224880383,4.635514018691588,3
3.5,101,188,98,455,0.5212765957446809,4.642857142857143,3
4.0,111,216,78,350,0.3611111111111111,4.487179487179487,3
4.5,126,232,102,469,0.4396551724137931,4.598039215686273,3
5.0,148,312,132,616,0.4230769230769231,4.666666666666667,3
5.5,134,289,175,833,0.6055363321799307,4.76,3
6.0,159,348,192,912,0.5517241379310345,4.75,3
0.5,17,24,16,57,0.6666666666666666,3.5625,2
1.0,29,55,33,135,0.6,4.090909090909091,2
1.5,57,109,46,203,0.4220183486238532,4.413043478260869,2
2.0,75,140,54,236,0.3857142857142857,4.37037037037037,3
2.5,63,131,81,376,0.6183206106870229,4.641975308641976,1
3.0,97,170,102,473,0.6,4.637254901960786,3
3.5,113,232,120,567,0.5172413793103449,4.725,1
4.0,115,226,124,578,0.5486725663716814,4.661290322580644,3
4.5,146,322,172,822,0.5341614906832298,4.77906976744186,1
5.0,129,263,141,666,0.5361216730038023,4.723404255319148,3
5.5,177,364,246,1182,0.6758241758241759,4.8048780487804885,1
6.0,169,325,160,755,0.4923076923076923,4.71875,3
0.5,11,22,13,38,0.5909090909090909,2.9230769230769234,2
1.0,37,88,38,164,0.4318181818181818,4.3157894736842115,2
1.5,37,80,30,120,0.375,4.0,2
2.0,59,120,39,161,0.325,4.128205128205129,3
2.5,76,153,94,434,0.6143790849673203,4.617021276595745,3
3.0,76,173,99,460,0.5722543352601156,4.646464646464646,3
3.5,106,222,128,606,0.5765765765765766,4.734375,3
4.0,116,238,134,632,0.5630252100840336,4.7164179104477615,3
4.5,144,313,192,914,0.6134185303514377,4.760416666666667,3
5.0,159,339,203,968,0.5988200589970502,4.768472906403941,3
5.5,174,342,201,958,0.5877192982456141,4.766169154228857,3
6.0,175,351,189,905,0.5384615384615384,4.788359788359788,3
0.5,13,25,6,9,0.24,1.5,2
1.0,26,58,16,52,0.27586206896551724,3.25,2
1.5,33,65,21,76,0.3230769230769231,3.6190476190476186,2
2.0,52,102,54,245,0.5294117647058824,4.537037037037037,2
2.5,72,140,76,343,0.5428571428571428,4.5131578947368425,3
